iter	Passed	Remaining
655	22181	18056
656	22190	18002
657	22199	17948
658	22208	17894
659	22217	17841
660	22227	17788
661	22236	17735
662	22246	17682
663	22255	17630
664	22264	17577
665	22273	17524
666	22281	17471
667	22290	17418
668	22299	17366
669	22308	17314
670	22317	17262
671	22326	17210
672	22335	17158
673	22344	17106
674	22353	17054
675	22362	17003
676	22371	16951
677	22380	16901
678	22389	16849
679	22399	16799
680	22411	16750
681	22422	16701
682	22437	16655
683	22449	16607
684	22458	16556
685	22467	16506
686	22477	16457
687	22486	16407
688	22495	16357
689	22505	16308
690	22515	16259
691	22524	16210
692	22534	16160
693	22543	16111
694	22552	16062
695	22562	16013
696	22571	15965
697	22581	15916
698	22593	15870
699	22603	15822
700	22612	15774
701	22622	15726
702	22632	15678
703	22641	15630
704	22650	15582
705	22660	15535
706	22669	15487
707	22679	15440
708	22688	15392
709	22698	15345
710	22707	15297
711	22716	15250
712	22726	15204
713	22737	15158
714	22746	15111
715	22757	15065
716	22766	15018
717	22776	14972
718	22786	14926
719	22795	14880
720	22804	14834
721	22816	14789
722	22826	14743
723	22837	14699
724	22850	14655
725	22863	14612
726	22873	14567
727	22883	14522
728	22892	14476
729	22905	14433
730	22918	14390
731	22931	14348
732	22944	14305
733	22956	14261
734	22965	14216
735	22974	14171
736	22984	14127
737	22994	14083
738	23003	14038
739	23012	13994
740	23022	13950
741	23032	13906
742	23042	13862
743	23051	13818
744	23060	13774
745	23069	13730
746	23079	13686
747	23088	13643
748	23098	13599
749	23107	13556
750	23116	13513
751	23125	13469
752	23134	13426
753	23144	13383
754	23155	13340
755	23164	13298
756	23173	13255
757	23182	13212
758	23192	13169
759	23201	13126
760	23210	13084
761	23220	13042
762	23229	13000
763	23239	12957
764	23248	12915
765	23257	12873
766	23266	12831
767	23276	12789
768	23284	12747
769	23293	12705
770	23303	12664
771	23313	12622
772	23322	12581
773	23332	12540
774	23342	12499
775	23351	12458
776	23361	12417
777	23371	12376
778	23381	12336
779	23393	12296
780	23405	12257
781	23424	12221
782	23433	12180
783	23442	12139
784	23452	12099
785	23461	12058
786	23470	12018
787	23479	11978
788	23489	11938
789	23497	11897
790	23506	11857
791	23515	11817
792	23524	11777
793	23534	11737
794	23543	11697
795	23552	11657
796	23560	11617
797	23570	11578
798	23578	11538
799	23587	11499
800	23597	11459
801	23612	11423
802	23625	11386
803	23635	11347
804	23649	11310
805	23672	11278
806	23687	11241
807	23698	11203
808	23716	11169
809	23730	11132
810	23743	11095
811	23754	11058
812	23766	11020
813	23777	10983
814	23789	10945
815	23805	10910
816	23822	10876
817	23837	10840
818	23852	10804
819	23864	10768
820	23876	10731
821	23896	10698
822	23918	10666
823	23933	10630
824	23944	10593
825	23953	10555
826	23963	10518
827	23972	10480
828	23981	10443
829	23990	10405
